,0,1,2,3,4,5,6,7
100200,95932.0,135141.0,104312.0,134246.0,101895.0,72165.0,100487.0,77414.0
100269,157338.0,26048.0,95004.0,120635.0,100108.0,60046.0,94018.0,82934.0
100521,157338.0,53464.0,87430.0,4636.0,92938.0,108501.0,78467.0,91974.0
100972,127196.0,140162.0,78772.0,72407.0,91104.0,91808.0,105254.0,110553.0
100998,158813.0,44972.0,1935.0,1947.0,82169.0,135141.0,920.0,99787.0
101049,82169.0,65685.0,7164.0,91974.0,49528.0,129739.0,5346.0,100487.0
101170,135567.0,577.0,2221.0,94018.0,152063.0,31433.0,54780.0,69134.0
101263,113159.0,94018.0,102880.0,104441.0,104312.0,104074.0,110809.0,135567.0
101318,87430.0,60937.0,95543.0,8531.0,135141.0,26999.0,82169.0,40962.0
101579,4636.0,7573.0,95932.0,82169.0,94018.0,70641.0,65685.0,8013.0
101721,104736.0,102160.0,173161.0,74075.0,65772.0,5979.0,128592.0,70641.0
101743,6208.0,4943.0,43838.0,104736.0,71318.0,90522.0,4982.0,95004.0
101799,31687.0,60937.0,577.0,110655.0,60806.0,135141.0,110750.0,631.0
101818,5794.0,153959.0,5664.0,8531.0,140162.0,85056.0,130490.0,148172.0
101889,31687.0,87876.0,81641.0,5363.0,157338.0,47122.0,76301.0,44193.0
102206,94018.0,91660.0,82095.0,8447.0,2665.0,4942.0,92192.0,91974.0
102226,4373.0,5047.0,2170.0,133867.0,128592.0,12.0,73106.0,91335.0
102355,62718.0,72165.0,108689.0,92938.0,94018.0,53464.0,86835.0,82095.0
102665,53464.0,43928.0,87430.0,92938.0,122902.0,82169.0,94018.0,95932.0
103266,102160.0,110387.0,74688.0,47978.0,82095.0,52694.0,91660.0,110809.0
103561,12.0,743.0,2052.0,6887.0,6550.0,95932.0,3447.0,7573.0
103573,50842.0,1544.0,4638.0,59014.0,101997.0,44972.0,95543.0,74075.0
103636,7570.0,108689.0,104312.0,134246.0,8013.0,91974.0,80363.0,69134.0
104273,5047.0,4373.0,8531.0,2170.0,102072.0,134246.0,162322.0,104312.0
105111,95543.0,4645.0,8140.0,109425.0,609.0,31687.0,60806.0,2221.0
105148,6887.0,7570.0,94018.0,7573.0,4552.0,91660.0,82095.0,133389.0
105370,4645.0,47904.0,6000.0,25818.0,8140.0,3587.0,5569.0,6885.0
105520,94018.0,87430.0,82095.0,60937.0,91660.0,95543.0,8447.0,122902.0
105938,91660.0,89480.0,4288.0,3626.0,1312.0,32234.0,6234.0,6887.0
106038,94018.0,82095.0,91660.0,3464.0,93766.0,60514.0,152063.0,13.0
106518,7573.0,7570.0,5346.0,2894.0,33585.0,26317.0,65685.0,8588.0
106850,6036.0,4989.0,4325.0,2933.0,6324.0,5314.0,27040.0,120783.0
106872,39421.0,49526.0,59429.0,59022.0,25741.0,70641.0,50189.0,4405.0
106883,87430.0,53464.0,94018.0,57526.0,122902.0,91626.0,91660.0,33750.0
106993,59429.0,82095.0,110809.0,50189.0,91660.0,8531.0,6687.0,101997.0
107522,86835.0,87430.0,31687.0,82463.0,5165.0,109425.0,60937.0,91974.0
107695,87430.0,122902.0,103755.0,86835.0,25918.0,92938.0,32234.0,95932.0
107868,96616.0,101281.0,100083.0,113532.0,104441.0,59022.0,7976.0,108156.0
108013,4373.0,134246.0,102072.0,2170.0,95932.0,70641.0,8531.0,130490.0
108188,110809.0,50796.0,104312.0,72165.0,91886.0,8531.0,104074.0,110655.0
108211,94018.0,82095.0,53464.0,91660.0,60937.0,65685.0,87430.0,122902.0
108271,74580.0,95004.0,102070.0,110809.0,95932.0,5047.0,104312.0,2170.0
108419,87430.0,92938.0,95932.0,159690.0,1483.0,94018.0,101076.0,3166.0
108516,53464.0,92938.0,39421.0,87430.0,95932.0,94018.0,162322.0,70641.0
108657,130578.0,43838.0,25818.0,743.0,8140.0,4943.0,26048.0,5189.0
108838,91974.0,39421.0,130490.0,59429.0,49526.0,94018.0,70641.0,166558.0
108987,82095.0,91660.0,6208.0,4943.0,92192.0,1427.0,96510.0,1383.0
109086,110603.0,160438.0,91535.0,6702.0,70641.0,82169.0,112897.0,6687.0
109135,92938.0,72407.0,140162.0,100083.0,7024.0,82684.0,27664.0,69134.0
109289,8531.0,88140.0,558.0,52694.0,59501.0,82169.0,95932.0,4636.0
109335,94018.0,82095.0,91660.0,91974.0,157338.0,81641.0,168498.0,96691.0
109384,104076.0,1427.0,4943.0,130578.0,32234.0,110773.0,63458.0,6208.0
109441,13.0,104076.0,130578.0,110130.0,31687.0,1427.0,136477.0,102160.0
109655,88140.0,87430.0,53464.0,89480.0,6887.0,101076.0,4872.0,1020.0
109763,82095.0,60937.0,91660.0,87430.0,91974.0,4633.0,86835.0,122902.0
110038,110809.0,115414.0,96510.0,110655.0,77414.0,3166.0,1427.0,631.0
110039,91660.0,2666.0,82095.0,6208.0,4943.0,4982.0,3486.0,59188.0
110077,53464.0,87430.0,95932.0,82169.0,8531.0,3166.0,103655.0,96616.0
110246,7024.0,94018.0,2012.0,82095.0,91660.0,53464.0,92938.0,87430.0
110296,109425.0,4982.0,6741.0,6500.0,5413.0,3847.0,82463.0,74696.0
110343,92938.0,122902.0,95932.0,135567.0,53464.0,74075.0,100083.0,87430.0
110386,66798.0,95004.0,8531.0,90522.0,78772.0,558.0,6550.0,122902.0
110525,6186.0,157338.0,87876.0,77596.0,95543.0,117368.0,82934.0,94018.0
110601,101997.0,82095.0,64497.0,44972.0,91660.0,94018.0,6687.0,74075.0
110988,8531.0,8666.0,53464.0,82169.0,88140.0,92938.0,87430.0,122902.0
111399,110655.0,110809.0,95932.0,631.0,72165.0,3166.0,52285.0,96405.0
111527,157338.0,4645.0,33669.0,8035.0,6162.0,2673.0,4552.0,97832.0
111714,6889.0,1688.0,7375.0,126921.0,5664.0,6565.0,129659.0,71688.0
111737,88515.0,92938.0,90522.0,93980.0,151315.0,100083.0,6887.0,106441.0
111751,6887.0,1483.0,69134.0,91974.0,4325.0,87430.0,135567.0,89480.0
111869,87430.0,53464.0,94018.0,62718.0,33669.0,82095.0,25918.0,91660.0
112139,82169.0,6550.0,110809.0,53464.0,743.0,65685.0,87430.0,7570.0
112394,99415.0,8531.0,27792.0,33126.0,50641.0,50942.0,8372.0,2052.0
112406,65685.0,2656.0,3652.0,8987.0,5165.0,82934.0,81641.0,5189.0
112600,110130.0,87105.0,692.0,162322.0,7573.0,120635.0,77414.0,114849.0
112947,110773.0,8531.0,70641.0,66798.0,33750.0,6687.0,99787.0,59014.0
112971,50189.0,73106.0,95932.0,3804.0,4005.0,6208.0,134246.0,49528.0
113031,110655.0,77414.0,70641.0,74075.0,2170.0,101997.0,1035.0,5047.0
113138,53464.0,94018.0,25918.0,122902.0,91660.0,4645.0,60937.0,92938.0
113394,7573.0,134246.0,92192.0,90524.0,114849.0,110130.0,104736.0,87105.0
113401,91660.0,65685.0,8447.0,6208.0,4942.0,4943.0,95004.0,4982.0
113591,3171.0,82095.0,115414.0,96510.0,60937.0,87430.0,97785.0,8588.0
113673,94018.0,7976.0,32234.0,103755.0,33750.0,82095.0,64508.0,60937.0
113679,33750.0,87430.0,53464.0,60937.0,25918.0,92938.0,157338.0,78467.0
113769,89480.0,1483.0,4872.0,2894.0,33585.0,69134.0,3626.0,4288.0
113922,3216.0,27664.0,7024.0,68319.0,34499.0,8906.0,6229.0,8405.0
114412,8867.0,68319.0,6550.0,96110.0,8985.0,53464.0,743.0,87430.0
114454,94018.0,77596.0,33750.0,966.0,82095.0,43928.0,60937.0,91974.0
114756,151315.0,2170.0,122902.0,87430.0,5047.0,95932.0,101997.0,74075.0
114855,743.0,12.0,153959.0,92192.0,68612.0,7636.0,68319.0,120799.0
114934,53460.0,1688.0,117368.0,33669.0,50189.0,112006.0,94325.0,71688.0
114952,2085.0,33830.0,1688.0,8785.0,2048.0,7161.0,6550.0,44972.0
115003,92192.0,32234.0,3808.0,82095.0,4912.0,33750.0,91660.0,31030.0
115169,87430.0,53464.0,82169.0,65685.0,95932.0,8985.0,70641.0,74530.0
115551,69134.0,78772.0,110809.0,2581.0,6887.0,47122.0,50796.0,44193.0
115930,82095.0,91660.0,4942.0,8447.0,77596.0,4943.0,6208.0,1427.0
116072,8531.0,53464.0,87430.0,82169.0,92938.0,159690.0,95932.0,85056.0
116123,96691.0,80363.0,53464.0,87430.0,94018.0,82095.0,92938.0,113103.0
116352,64030.0,7570.0,82169.0,7573.0,77540.0,103810.0,5189.0,91660.0
116453,82169.0,65685.0,49649.0,4872.0,89480.0,4638.0,4847.0,104074.0
116502,100611.0,3415.0,31687.0,13.0,33750.0,67788.0,33264.0,70282.0
116669,91660.0,25918.0,92938.0,92192.0,90403.0,103655.0,86835.0,8447.0
116680,6251.0,13.0,2674.0,31687.0,630.0,3626.0,6037.0,89480.0
117071,94018.0,53464.0,3627.0,82095.0,44193.0,4794.0,91660.0,62999.0
117154,13.0,87876.0,82095.0,161954.0,94018.0,33669.0,100108.0,91660.0
117439,78772.0,91104.0,72407.0,96691.0,91974.0,86835.0,65685.0,609.0
117986,50189.0,71318.0,130578.0,95508.0,3804.0,81641.0,1959.0,5781.0
118007,4325.0,2933.0,55851.0,44947.0,47152.0,47274.0,46572.0,6985.0
118032,102005.0,26644.0,5891.0,8906.0,5413.0,50619.0,7172.0,2673.0
118062,61250.0,49526.0,31221.0,122902.0,59429.0,82095.0,96691.0,50189.0
118144,71318.0,4982.0,2666.0,26285.0,3486.0,82366.0,77414.0,3687.0
118322,88140.0,43928.0,50189.0,53464.0,87430.0,101076.0,4872.0,73106.0
118350,82095.0,4912.0,94018.0,91660.0,87430.0,1959.0,122902.0,1933.0
118409,59022.0,5821.0,70641.0,4645.0,59429.0,5047.0,50942.0,5024.0
